user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,predicted_churn,is_churned
1,Female,54,CA,Free,26,23,0.2,Desktop,31,0.217226432085403,yes
2,Other,33,DE,Family,141,62,0.34,Web,0,0.390956354916557,no
3,Male,38,AU,Premium,199,38,0.04,Mobile,0,0.151478308914843,yes
4,Female,22,CA,Student,36,2,0.31,Mobile,0,0.9611443929589,no
5,Other,29,US,Family,250,57,0.36,Mobile,0,0.174312842656494,yes
6,Female,17,AU,Free,219,35,0.46,Desktop,13,0.864911326791116,no
7,Female,39,UK,Premium,289,44,0.38,Desktop,0,0.715810339418247,no
8,Female,41,UK,Free,210,68,0.11,Mobile,5,0.803800844334136,no
9,Other,55,DE,Student,50,66,0.29,Web,0,0.135385283971908,no
10,Male,44,DE,Free,278,94,0.38,Mobile,44,0.338297144666685,no
11,Other,33,DE,Free,86,44,0.11,Web,37,0.31684633758584,no
12,Other,24,CA,Free,113,24,0.56,Desktop,39,0.978167304846563,yes
13,Female,37,IN,Family,24,86,0.11,Desktop,0,0.686051197762612,no
14,Female,53,US,Premium,45,47,0.6,Web,0,0.480525724731274,no
15,Other,37,IN,Family,114,13,0.44,Web,0,0.74734679689763,yes
16,Male,25,FR,Student,230,25,0.26,Desktop,0,0.180708337600745,no
17,Female,36,DE,Student,181,93,0.23,Mobile,0,0.603353089104347,no
18,Male,58,US,Family,120,8,0.41,Desktop,0,0.27231937158448,no
19,Female,34,DE,Family,160,32,0.35,Mobile,0,0.491396156649166,no
20,Male,35,UK,Student,281,51,0.35,Desktop,0,0.029504922751479,no
21,Female,33,AU,Student,138,60,0.6,Web,0,0.699376806550093,no
22,Male,49,AU,Premium,20,7,0.45,Desktop,0,0.721159697391154,no
23,Female,45,PK,Family,138,95,0.1,Desktop,0,0.233459618132551,no
24,Male,44,CA,Family,134,97,0.42,Web,0,0.639282478881111,no
25,Other,32,CA,Premium,133,22,0.59,Desktop,0,0.413375831804829,no
26,Female,19,US,Student,39,29,0.53,Desktop,0,0.845414360161669,no
27,Male,28,IN,Free,293,67,0.33,Mobile,23,0.182904431862471,yes
28,Other,58,FR,Free,15,55,0.3,Mobile,35,0.392624217837419,no
29,Male,33,FR,Free,123,13,0.22,Desktop,7,0.65422217679565,no
30,Female,22,FR,Premium,18,12,0.39,Mobile,0,0.406992979838147,no
31,Other,44,UK,Premium,149,45,0.22,Web,0,0.875641364287011,no
32,Male,53,US,Student,72,12,0.17,Web,0,0.287739648352743,no
33,Female,49,IN,Premium,291,74,0.11,Mobile,0,0.796588914671942,no
34,Male,49,US,Family,147,52,0.43,Web,0,0.487717084733278,no
35,Female,55,FR,Premium,18,2,0.04,Mobile,0,0.0391341768254834,no
36,Other,24,DE,Free,59,53,0.18,Web,28,0.481830378011721,yes
37,Male,22,DE,Student,280,99,0.29,Desktop,0,0.471311614832917,no
38,Female,50,US,Family,117,98,0.04,Mobile,0,0.789189918266532,no
39,Female,42,DE,Family,47,59,0.06,Desktop,0,0.547062457265701,no
40,Male,17,DE,Family,260,44,0.5,Desktop,0,0.290535963627139,yes
41,Female,51,UK,Premium,122,16,0.54,Desktop,0,0.620834333840111,no
42,Female,46,US,Student,255,14,0.39,Desktop,0,0.45102806652361,no
43,Male,22,DE,Family,49,39,0.51,Mobile,0,0.33498170459813,no
44,Male,37,DE,Family,90,89,0.4,Mobile,0,0.784668215059845,no
45,Male,39,PK,Family,288,69,0.48,Web,0,0.28075037482078,no
46,Female,18,PK,Premium,255,3,0.39,Web,0,0.77328425479179,no
47,Female,56,CA,Student,255,75,0.58,Desktop,0,0.834728816759426,no
48,Male,58,US,Family,26,23,0.08,Mobile,0,0.122974498201298,no
49,Other,59,US,Family,238,60,0.29,Desktop,0,0.0784560798181787,no
50,Male,50,PK,Free,241,7,0.56,Desktop,22,0.398276091063984,yes
51,Female,45,CA,Premium,124,98,0.36,Desktop,0,0.990093563504082,no
52,Other,56,FR,Premium,175,67,0.38,Web,0,0.0426648377134836,no
53,Female,38,AU,Free,41,3,0,Desktop,43,0.166038752115183,yes
54,Male,57,DE,Free,222,96,0.26,Web,15,0.193474987643224,no
55,Female,46,UK,Family,121,71,0.32,Desktop,0,0.451572948417393,no
56,Female,41,IN,Family,277,2,0.59,Web,0,0.786437380113908,no
57,Other,19,IN,Free,107,82,0.11,Desktop,12,0.620269231217351,yes
58,Male,48,FR,Student,198,63,0.23,Desktop,0,0.114593865688902,no
59,Other,22,DE,Free,59,51,0.42,Desktop,19,0.686796874866664,no
60,Other,17,IN,Student,95,79,0.53,Web,0,0.35618087964796,yes
61,Female,25,UK,Premium,262,23,0.17,Web,0,0.578087226641733,no
62,Other,49,PK,Student,169,26,0.56,Mobile,0,0.718464090918094,no
63,Other,59,IN,Free,25,32,0.2,Mobile,38,0.831366100815577,no
64,Female,45,CA,Family,55,67,0.51,Mobile,0,0.517251311596516,yes
65,Male,45,IN,Student,161,42,0.4,Desktop,0,0.855788972624995,yes
66,Other,21,FR,Family,77,42,0.56,Web,0,0.342346648390547,no
67,Male,45,DE,Free,152,32,0.49,Mobile,14,0.330820228262377,yes
68,Female,45,UK,Free,156,51,0.14,Desktop,18,0.504744337609166,no
69,Other,22,AU,Student,99,43,0.17,Desktop,0,0.192915976252524,no
70,Female,56,US,Free,181,40,0.21,Mobile,10,0.143124502934318,no
71,Other,51,AU,Student,265,81,0.36,Web,0,0.405399424634023,no
72,Female,22,AU,Family,131,70,0.35,Web,0,0.590646733479591,no
